Device: xGravity,Device: yGravity,Device: zGravity,Device: xAcceleration,Device: yAcceleration,Device: zAcceleration,Device: pitch,Device: roll,Device: yaw,Device: xRotationRate,Device: yRotationRate,Device: zRotationRate,exerciseType,exerciseSubType,timeStampSaved,individual
-0.18,-0.98,-0.09,0.29,-0.06,0.04,1.37,-1.1,0.83,-0.03,-0.45,0.16,setBreak,setBreak,2017-04-28 08:30:54:471,3
-0.19,-0.98,-0.09,0.2,-0.01,0.03,1.36,-1.15,0.83,-0.01,-0.37,0.0,setBreak,setBreak,2017-04-28 08:30:54:570,3
-0.19,-0.98,-0.07,0.08,-0.05,0.03,1.37,-1.23,0.88,0.26,0.08,-0.14,setBreak,setBreak,2017-04-28 08:30:54:670,3
-0.18,-0.98,-0.04,0.09,-0.03,-0.02,1.39,-1.34,1.03,0.36,0.32,-0.07,setBreak,setBreak,2017-04-28 08:30:54:770,3
-0.16,-0.99,-0.01,0.15,-0.05,-0.07,1.41,-1.49,1.19,0.24,0.03,-0.3,setBreak,setBreak,2017-04-28 08:30:54:869,3
-0.09,-1.0,-0.02,-0.05,-0.02,-0.01,1.48,-1.31,1.03,0.12,0.32,-0.23,setBreak,setBreak,2017-04-28 08:30:54:970,3
-0.07,-1.0,-0.03,-0.03,-0.02,0.02,1.5,-1.22,0.98,-0.1,0.14,-0.09,setBreak,setBreak,2017-04-28 08:30:55:070,3
-0.07,-1.0,-0.04,0.04,-0.03,0.02,1.49,-1.01,0.76,-0.26,-0.25,0.1,setBreak,setBreak,2017-04-28 08:30:55:171,3
-0.08,-0.99,-0.07,0.07,-0.04,0.03,1.47,-0.83,0.54,-0.37,-0.39,0.31,setBreak,setBreak,2017-04-28 08:30:55:270,3
-0.1,-0.99,-0.09,0.09,-0.03,0.06,1.44,-0.83,0.49,-0.39,-0.7,0.45,setBreak,setBreak,2017-04-28 08:30:55:370,3
-0.13,-0.99,-0.11,0.04,-0.1,0.04,1.4,-0.89,0.49,-0.14,-0.41,0.13,setBreak,setBreak,2017-04-28 08:30:55:470,3
